,ro,rup,rup_std,rup_cun,en,es,fr,split
1038,"te-am găsit pe mare,",țe te-aflăm tu-amare.,țe te-aflăm tu-amare.,tse te-aflãm tu-amare.,"i found you at sea,","te encontré en el mar,","je t'ai trouvé en mer,",train
1039,"te-am hrănit cu miere, -",te hrăneam cu ñare,te hrăneam cu ńare,te hrãneam cu njare,"i fed you honey, -","te di de comer miel, -","je t'ai donné du miel, -",train
1040,și ne părăsești?,ș-tora s-nă fudz dîn casă?,ș-tora s-nă fud̦ dîn casă?,sh-tora s-nã fudz dãn casã?,and leave us?,¿y dejarnos?,et nous quitter ?,train
1041,fata și băiatul se făceau că nu aud și orăcăiau ca broaștele: bac! bac! bac!-bac! bac! bac!,feata ș-ficiorlu s-fățea că nu-avdu și striga ca broatiți: bac! bac! bac! bac! bac! bac!,feata ș-ficiorlu s-fățea că nu-avdu și striga ca broatiți: bac! bac! bac! bac! bac! bac!,feata sh-ficiorlu s-fãtsea cã nu-avdu shi striga ca broatitsi: bac! bac! bac! bac! bac! bac!,the girl and the boy pretended not to hear and squealed like frogs: bac! bac! bac! bac! bac!,la niña y el niño hicieron como que no oían y chillaron como ranas: ¡bac! ¡bac! ¡bac! ¡bac! ¡bac!.,la fille et le garçon ont fait semblant de ne pas entendre et ont crié comme des grenouilles: bac ! bac ! bac ! bac ! bac !,train
1042,"după care zise harapul, feciorul dracului bătrân:","apoia ahurhi ficiorlu al pap, araplu, s-dzîcă:","apoia ahurhi ficiorlu al pap, araplu, s-d̦îcă:","apoia ahurhi ficiorlu al pap, araplu, s-dzãcã:","then said the harpy, the old son of a bitch:","entonces dijo la arpía, el viejo hijo de puta:","alors dit la harpie, le vieux fils de pute:",train
1043,"- vai! n-ai fost tu aceea, de te-am găsit pe mare, și te-mbrăcarăm în rochii alese, și tot ce-ai poftit ți-am adus, iar acum pleci, ne părăsești?","- ah! nu erai tine, țe te-aflăm tu-amare, te-adrăm tută tu fustăñi noauă ș-tute lucrile țe nî cîftași țî li feațim, ș-tora fudziși și n-alăsași!","- ah! nu erai tine, țe te-aflăm tu-amare, te-adrăm tută tu fustăńi noauă ș-tute lucrile țe nî cîftași țî li feațim, ș-tora fud̦iși și n-alăsași!","- ah! nu erai tine, tse te-aflãm tu-amare, te-adrãm tutã tu fustãnji noauã sh-tute lucrile tse nã cãftashi tsã li featsim, sh-tora fudzishi shi n-alãsashi!","- go! was it not you, that we found you at sea, and dressed you in fine gowns, and brought you everything you desired, and now you are leaving us?","- ¡adelante! ¿no fuiste tú, que te encontramos en el mar, y te vestimos con vestidos finos, y te trajimos todo lo que deseabas, y ahora nos dejas?","- va ! n'est-ce pas toi que nous avons trouvée en mer, que nous avons habillée de belles robes, que nous t'avons apporté tout ce que tu désirais, et maintenant tu nous quittes ?",train
1044,"fata și andreiaș, iar:",feata cu andrușlu nîpoi:,feata cu andrușlu nîpoi:,feata cu andrushlu nãpoi:,the girl and andreiaș again:,la chica y andreiaș de nuevo:,la fille et andreiaș à nouveau:,train
1045,- bac-bac-bac! bac-bac-bac!,- bac-bac-bac-bac! bac-bac!,- bac-bac-bac-bac! bac-bac!,- bac-bac-bac-bac! bac-bac!,- bac-bac-bac-bac! bac-bac-bac-bac!,- ¡bac-bac-bac! ¡bac-bac-bac!,- bac-bac-bac-bac ! bac-bac-bac-bac !,train
1046,"la urmă, a zis și muma harapului:",tu coadă gri ș-muma-l arap:,tu coadă gri ș-muma-l arap:,tu coadã gri sh-muma-l arap:,"at last, said the harp's mother:","por fin, dijo la madre del arpa:","enfin, dit la mère de la harpe:",train
1047,"- nu pe tine, scumpeteo, te-am scăpat noi din mare, și te-am crescut, și ți-am făcut toate voile, și tu acum ne părăsești?","- nu erai tine, durută, țe te-ascăpăm dit amare, care ti criscum, țî li feațim tute chehle ș-tora fudziși di n-alăsași?","- nu erai tine, durută, țe te-ascăpăm dit amare, care ti criscum, țî li feațim tute chehle ș-tora fud̦iși di n-alăsași?","- nu erai tine, durutã, tse te-ascãpãm dit amare, care ti criscum, tsã li featsim tute chehle sh-tora fudzishi di n-alãsashi?","- didn't we rescue you from the sea, and raise you, and make you all the sails, and now you leave us?","- ¿no te rescatamos del mar, y te izamos, y te hicimos todas las velas, y ahora nos dejas?","- nous ne t'avons pas sauvé de la mer, nous ne t'avons pas élevé, nous ne t'avons pas fabriqué toutes les voiles, et maintenant tu nous quittes ?",train
1048,- bac-bac-bac! bac-bac-bac! ziseră din nou fugarii.,- bac-bac-bac! bac-bac-bac! strigară năpoi feata cu ficiorlu.,- bac-bac-bac! bac-bac-bac! strigară năpoi feata cu ficiorlu.,- bac-bac-bac! bac-bac-bac! strigarã nãpoi feata cu ficiorlu.,- bac-bac-bac-bac! bac-bac-bac-bac! the runners shouted again.,- ¡bac-bac-bac! ¡bac-bac-bac! volvieron a gritar los corredores.,- bac-bac-bac-bac ! bac-bac-bac-bac ! crient à nouveau les coureurs.,train
1049,"atunci, muma dracului se-ntoarse și zise, blestemând:",atumțea s-turnă și blăstimă muma draclui și dzîse:,atumțea s-turnă și blăstimă muma draclui și d̦îse:,atumtsea s-turnã shi blãstimã muma draclui shi dzãse:,"then the mother of the devil turned and said, cursing:","entonces la madre del diablo se volvió y dijo, maldiciendo:","alors la mère du diable se retourna et dit, en maudissant:",train
1050,- să-l sărute maica lui și să-și uite de nevastă! știa ea ce spune.,"- muma-l'i cara va-l bașe, ațel niveasta și ș-agărșească!","- muma-ľi cara va-l bașe, ațel niveasta și ș-agărșească!","- muma-lji cara va-l bashe, atsel niveasta shi sh-agãrsheascã!",- let his mother kiss him and forget his wife! she knew what she was saying.,- ¡deja que su madre lo bese y olvida a su esposa! sabía lo que decía.,- que sa mère l'embrasse et qu'elle oublie sa femme ! elle savait ce qu'elle disait.,train
1051,"în clipa aceea cântară cocoșii, și s-au dus învârtindu-se dracii. fata și băiatul au ieșit din baltă, să se ducă acasă, la el. pe drum, ea îi zise:","ș-tru oară cîntară cucoțl'i și-și frîmsiră zverca drațl'i. ișiră ș-feata cu ficiorlu si s-ducă acasă la andrușlu. calea, feata-l'i dzîse:","ș-tru oară cîntară cucoțľi și-și frîmsiră zverca drațľi. ișiră ș-feata cu ficiorlu si s-ducă acasă la andrușlu. calea, feata-ľi d̦îse:","sh-tru oarã cãntarã cucotslji shi-shi frãmsirã zverca dratslji. ishirã sh-feata cu ficiorlu si s-ducã acasã la andrushlu. calea, feata-lji dzãse:","at that moment the roosters crowed, and the devils went whirling away. the girl and the boy came out of the pond to go to his house. on the way, she said to him:","en ese momento cantaron los gallos y los demonios se alejaron como un torbellino. la muchacha y el muchacho salieron del estanque para ir a su casa. por el camino, ella le dijo:","a ce moment-là, les coqs chantèrent et les diables s'éloignèrent en tourbillonnant. la jeune fille et le jeune garçon sortirent de l'étang pour aller chez lui. en chemin, elle lui dit:",train
1052,"- ai auzit ce zise drăcoaica! bagă de seamă, andrieșule, să nu mi te sărute mama ta, să-i spui și de ce, dacă stăruie.","- avdzîși țe dzîse drăcoañea! mutrea ghine s-nu te-alași s-ti bașe mă-ta, și, care s-va. si-l'i dzîți că hii surat.","- avd̦își țe d̦îse drăcoańea! mutrea ghine s-nu te-alași s-ti bașe mă-ta, și, care s-va. si-ľi d̦îți că hii surat.","- avdzãshi tse dzãse drãcoanjea! mutrea ghine s-nu te-alashi s-ti bashe mã-ta, shi, care s-va. si-lji dzãtsi cã hii surat.","- did you hear what the little lady said! mind you, andrius, don't let your mother kiss you, and tell her why, if she's insisting.","- ¿has oído lo que ha dicho la señorita? cuidado, andrius, no dejes que tu madre te bese, y dile por qué, si insiste.","- tu as entendu ce que la petite dame a dit ! attention, andrius, ne laisse pas ta mère t'embrasser, et dis-lui pourquoi, si elle insiste.",train
1053,"- bine, grăi băiatul.","- ghine, dzîse ficiorlu.","- ghine, d̦îse ficiorlu.","- ghine, dzãse ficiorlu.","- okay, the boy says.","- vale, dice el chico.","- d'accord, dit le garçon.",train
1054,"andrieș își lăsă nevasta într-o colibă, în munte, fiindcă îi era rușine fată de împărat s-o aducă în sat cu hainele jerpelite pe ea, că se jerpeliră, cât au umblat pe drum.","nîs o-alăsă înveasta-l'i tu nă călivă, tu munte, că l'i-era arșine feată de-amiră, s-o-aducă cu strañe arupte în hoară, că lă se-arupsiră di cît feațiră pri cale.","nîs o-alăsă înveasta-ľi tu nă călivă, tu munte, că ľi-era arșine feată de-amiră, s-o-aducă cu strańe arupte în hoară, că lă se-arupsiră di cît feațiră pri cale.","nãs o-alãsã ãnveasta-lji tu nã cãlivã, tu munte, cã lji-era arshine featã de-amirã, s-o-aducã cu stranje arupte ãn hoarã, cã lã se-arupsirã di cãt featsirã pri cale.","andres left his wife in a hut in the mountains, because he was ashamed daughter of an emperor to bring her back to the village with her clothes in tatters, because they got ragged on the way.","andrés dejó a su mujer en una cabaña en las montañas, porque le daba vergüenza -hija de un emperador- traerla de vuelta a la aldea con la ropa hecha jirones, porque se le hicieron harapos por el camino.","andres a laissé sa femme dans une cabane dans les montagnes, parce qu'il avait honte fille d'un empereur de la ramener au village avec ses vêtements en lambeaux, parce qu'ils s'étaient déchirés en chemin.",train
1055,"se duse dar băiatul acasă, singur, să-i facă o pereche de haine.","duse ficiorlu acasă singur, s-l'i facă nă păreacl'e di strañe.","duse ficiorlu acasă singur, s-ľi facă nă păreacľe di strańe.","duse ficiorlu acasã singur, s-lji facã nã pãreaclje di stranje.",he went but the boy home alone to make him a pair of clothes.,fue pero el niño solo a casa para hacerle un par de ropas.,il s'est rendu seul à la maison avec le garçon pour lui confectionner des vêtements.,train
1056,"și, așa cum făgăduise, nu s-a lăsat sărutat de maica lui:","nîs, cum ș-avea dată zborlu, nu se-alăsă s-lu bașe mă-sa:","nîs, cum ș-avea dată zborlu, nu se-alăsă s-lu bașe mă-sa:","nãs, cum sh-avea datã zborlu, nu se-alãsã s-lu bashe mã-sa:","and, as he had promised, he did not let his mother kiss him:","y, como había prometido, no dejó que su madre le besara:","et, comme il l'avait promis, il ne laissa pas sa mère l'embrasser:",train
1057,"- maică, să nu mă săruți, că sunt însurat!","- mamo, nu mi bașe, că-ñi him surat.","- mamo, nu mi bașe, că-ńi him surat.","- mamo, nu mi bashe, cã-nji him surat.","- mother, don't kiss me, i'm married!","- ¡madre, no me beses, estoy casado!","- mère, ne m'embrasse pas, je suis mariée !",train
1058,"mamă-sa, ca orice mamă ar fi vrut să-l sărute, că nu-l văzuse de mult și acum băiatul i se înturna ca de pe lumea cealaltă! dar, tot nu-l sărută, atunci.","mă-sa, ca mumă, durea să-l bașe, că nu-l avea vidzută di multu, ș-tora îl'i γinea ca dit lumea alantă! ghine ma tut nu-l bășe atumțea.","mă-sa, ca mumă, durea să-l bașe, că nu-l avea vid̦ută di multu, ș-tora îľi yinea ca dit lumea alantă! ghine ma tut nu-l bășe atumțea.","mã-sa, ca mumã, durea sã-l bashe, cã nu-l avea vidzutã di multu, sh-tora ãlji yinea ca dit lumea alantã! ghine ma tut nu-l bãshe atumtsea.","his mother, like any mother she wanted to kiss him, because she hadn't seen him for a long time and now the boy was as if he was from another world! but she still didn't kiss him.","su madre, como cualquier madre, quería besarle, porque hacía mucho tiempo que no le veía y ahora el niño era como de otro mundo. pero siguió sin besarle.","sa mère, comme toutes les mères, voulait l'embrasser, parce qu'elle ne l'avait pas vu depuis longtemps et que ce garçon était comme venu d'un autre monde ! mais elle ne l'a toujours pas embrassé.",train
1059,"în miez de noapte însă, când băiatul era cufundat bine în somn, maică-sa se duse la el, să-l privească. când îl văzu, asudat și ostenit ca vai de el, că numai el știa cât umblase, îl șterse de sudoare și îl sărută, cu bucurie. flăcăul nu simți nimic. în zori se sculă, se spălă frumușel și se așeză pe pat.","cîtră ñeadză-nopțî, cîndu ficiorlu l'i-cuțea somnu greu, mă-sa duse tra si-l veadă. cîndu-l vidzu asudat di apustusit ți era, că imnă măratluși cari-știe cît, lu-aștearse de-asudoare și-l bășe di harauă. ficiorlu nu-aduchi țiva. tu-apirită si sculă, si lă și se-aspilă ghine-mușeat și se-alină pri un pat, tra si șadă.","cîtră ńead̦ă-nopțî, cîndu ficiorlu ľi-cuțea somnu greu, mă-sa duse tra si-l veadă. cîndu-l vid̦u asudat di apustusit ți era, că imnă măratluși cari-știe cît, lu-aștearse de-asudoare și-l bășe di harauă. ficiorlu nu-aduchi țiva. tu-apirită si sculă, si lă și se-aspilă ghine-mușeat și se-alină pri un pat, tra si șadă.","cãtrã njeadzã-noptsã, cãndu ficiorlu lji-cutsea somnu greu, mã-sa duse tra si-l veadã. cãndu-l vidzu asudat di apustusit tsi era, cã imnã mãratlushi cari-shtie cãt, lu-ashtearse de-asudoare shi-l bãshe di harauã. ficiorlu nu-aduchi tsiva. tu-apiritã si sculã, si lã shi se-aspilã ghine-musheat shi se-alinã pri un pat, tra si shadã.","but in the middle of the night, when the boy was fast asleep, his mother went to him to look at him. when she saw him, sweating and exhausted, for he alone knew how far he had walked, she wiped away his sweat and kissed him with joy. the boy felt nothing. at dawn, he got up, washed himself and lay down on the bed.","pero en mitad de la noche, cuando el niño dormía profundamente, su madre se acercó a él para mirarlo. cuando lo vio, sudoroso y agotado, pues sólo él sabía cuánto había caminado, le secó el sudor y lo besó con alegría. el muchacho no sintió nada. al amanecer, se levantó, se lavó y se tumbó en la cama.","mais au milieu de la nuit, alors que l'enfant dormait profondément, sa mère s'approcha de lui pour le voir. lorsqu'elle le vit, en sueur et épuisé, car lui seul savait jusqu'où il avait marché, elle essuya sa sueur et l'embrassa avec joie. le garçon ne ressentit rien. à l'aube, il se leva, se lava et s'allongea sur le lit.",train
1060,mumă-sa îl întrebă:,lu-ntribă mă-sa:,lu-ntribă mă-sa:,lu-ntribã mã-sa:,his mother asked him:,le preguntó su madre:,lui demande sa mère:,train
1061,"- dragul maichii, spuneai aseară că te-ai însurat, când îți aduci mireasa aici, la părinții tăi?","- hil'iu, spuneai aeri că hii surat, cîndu va s-o aduț niveasta-ț la părințî?","- hiľiu, spuneai aeri că hii surat, cîndu va s-o aduț niveasta-ț la părințî?","- hiljiu, spuneai aeri cã hii surat, cãndu va s-o aduts niveasta-ts la pãrintsã?","- dear boy, you were saying last night that you got married, when are you bringing your bride here to your parents?","- querido muchacho, anoche decías que te casabas, ¿cuándo vas a traer a tu novia aquí a tus padres?","- cher garçon, tu disais hier soir que tu t'étais marié. quand amèneras-tu ta fiancée à tes parents ?",train
1062,"andreiaș uitase cu totul de asta, după ce îl sărutase mamă-sa:","andrușlu avea agărșită dip di cap, di cum îl bîșe mă-sa și dzîse:","andrușlu avea agărșită dip di cap, di cum îl bîșe mă-sa și d̦îse:","andrushlu avea agãrshitã dip di cap, di cum ãl bãshe mã-sa shi dzãse:",andreiaș had forgotten all about it after her mother had kissed him:,andreiaș lo había olvidado todo después de que su madre lo besara:,andreiaș avait tout oublié après que sa mère l'ait embrassé:,train
1063,- ce mireasă?,- cari niveastă?,- cari niveastă?,- cari niveastã?,- what bride?,- ¿qué novia?,- quelle mariée ?,train
1064,"- cea de ieri, de care vorbeai!","- ațea de-aeri, țe-ñi dzîțeai!","- ațea de-aeri, țe-ńi d̦îțeai!","- atsea de-aeri, tse-nji dzãtseai!",- the one you were talking about yesterday!,- ¡del que hablabas ayer!,- celui dont vous parliez hier !,train
1065,"- te-nșeli, măicuță, eu nu-s însurat.","- hii arîsă, mumă, io nu him surat.","- hii arîsă, mumă, io nu him surat.","- hii arãsã, mumã, io nu him surat.","- you're wrong, mother i'm not married.","- te equivocas, madre, no estoy casado.","- vous vous trompez, mère je ne suis pas marié.",train
1066,"atunci, maica lui făcu ce făcu și îl logodi cu o fată din sat. iar cealaltă, biata de ea, tot aștepta în munte să se ducă s-o ia.","atumțea muma-l băgă di cale și lu-arăvuñisi cu nă feată din hoară, și alantă mărata ș-aștipta tu munte, si s-ducă s-u l'ea.","atumțea muma-l băgă di cale și lu-arăvuńisi cu nă feată din hoară, și alantă mărata ș-aștipta tu munte, si s-ducă s-u ľea.","atumtsea muma-l bãgã di cale shi lu-arãvunjisi cu nã featã din hoarã, shi alantã mãrata sh-ashtipta tu munte, si s-ducã s-u ljea.","then his mother did what she did and engaged him to a girl from the village. and the other one, poor thing, kept waiting in the mountains for him to pick her up.","entonces su madre hizo lo que hacía y lo comprometió con una chica del pueblo. y la otra, pobrecita, seguía esperando en el monte a que él la recogiera.","puis sa mère a fait ce qu'elle faisait et l'a fiancé à une fille du village. et l'autre, la pauvre, attendait dans les montagnes qu'il vienne la chercher.",train
1067,"vine și sorocul nunții. deodată, chiar în clipa când urma să li se pună tinerilor cununa pe cap, doi porumbei trimiși de fata cealaltă, veniră și se așezară, unul pe capul mirelui și celălalt pe capul miresei. cel de pe capul miresei începu a gânguri, zicând:","viñe oara s-facă numta. cîndu, na! aclo iu să si-ncrună, doi pilisteri, pitricuț de feata alantă, viñiră și șidzură unlu pri caplu al gambro ș-alantu pri caplu ali-nveaste. ațel di pri caplu ali-nveaste acăță s-cîntă și s-dzîcă:","vińe oara s-facă numta. cîndu, na! aclo iu să si-ncrună, doi pilisteri, pitricuț de feata alantă, vińiră și șid̦ură unlu pri caplu al gambro ș-alantu pri caplu ali-nveaste. ațel di pri caplu ali-nveaste acăță s-cîntă și s-d̦îcă:","vinje oara s-facã numta. cãndu, na! aclo iu sã si-ncrunã, doi pilisteri, pitricuts de feata alantã, vinjirã shi shidzurã unlu pri caplu al gambro sh-alantu pri caplu ali-nveaste. atsel di pri caplu ali-nveaste acãtsã s-cãntã shi s-dzãcã:","the wedding feast is coming. suddenly, just as the young people were about to put the crown on their heads, two doves sent by the other girl came and sat down, one on the head of the bridegroom and the other on the head of the bride. the one on the bride's head began to coo, saying:","se acerca el banquete de bodas. de pronto, justo cuando los jóvenes se disponían a ponerse la corona en la cabeza, llegaron dos palomas enviadas por la otra muchacha y se posaron, una sobre la cabeza del novio y otra sobre la de la novia. la que estaba sobre la cabeza de la novia empezó a arrullar diciendo:","les noces approchent. soudain, au moment où les jeunes gens allaient poser la couronne sur leur tête, deux colombes envoyées par l'autre jeune fille vinrent s'asseoir, l'une sur la tête de l'époux et l'autre sur la tête de l'épouse. celle qui était sur la tête de la mariée se mit à gazouiller en disant:",train
1068,"- nu pe tine, voinicule drag, te-am scăpat eu din ghiarele harapului, cu meșteșugurile mele multe? nu tu îmi ziceai și-mi juruiai că mai degrabă mori, pieri, decât să te desparți de mine, iar acu' vrei să te cununi cu alta?","- nu erai tine, gione-aleptu, ți te ascîpai dit mîñile al arap, cu ahîte murafeți țe feciu? nu erai tine țe-ñi dzățeai și țe-ñi giurai că s-mori, s-cheri, di mine nu va ti disparțî, și tora vrei s-ti-ncruñi cu altă?","- nu erai tine, gione-aleptu, ți te ascîpai dit mîńile al arap, cu ahîte murafeți țe feciu? nu erai tine țe-ńi d̦ățeai și țe-ńi giurai că s-mori, s-cheri, di mine nu va ti disparțî, și tora vrei s-ti-ncruńi cu altă?","- nu erai tine, gione-aleptu, tsi te ascãpai dit mãnjile al arap, cu ahãte murafetsi tse feciu? nu erai tine tse-nji dzãtseai shi tse-nji giurai cã s-mori, s-cheri, di mine nu va ti dispartsã, shi tora vrei s-ti-ncrunji cu altã?","- did i not, my dear fellow, rescue you from the claws of the harpy with my many crafts? did you not tell me and swear to me that you would rather die and perish than part with me, and now you want to marry another?","- ¿no te rescaté yo, mi querido amigo, de las garras de la arpía con mis muchos oficios? ¿no me dijiste y me juraste que preferías morir y perecer antes que separarte de mí, y ahora quieres casarte con otra?","- ne t'ai-je pas, mon cher ami, sauvé des griffes de la harpie grâce à mes nombreux métiers ? ne m'as-tu pas dit et juré que tu préférais mourir et périr plutôt que de te séparer de moi, et maintenant tu veux en épouser une autre ?",train
1069,"auzind acestea, andrieș o împinse cât colo pe mireasa de lângă el, desprinzându-se de dânsa, și zise:","atumțea andrușlu pimse înclo niveasta-l'i, s-disfeațe di ea și dzîse:","atumțea andrușlu pimse înclo niveasta-ľi, s-disfeațe di ea și d̦îse:","atumtsea andrushlu pimse ãnclo niveasta-lji, s-disfeatse di ea shi dzãse:","hearing this, andries pushed the bride from beside him, breaking away from her, and said:","al oír esto, andries empujó a la novia de su lado, separándose de ella, y dijo:","en entendant cela, andries poussa la mariée de son côté, se séparant d'elle, et dit:",train
1070,"- eu sunt însurat, sunt însurat! lăsați-mă, ce vreți să mă cununați cu alta?","- io him surat, io him surat! fudziți, țe vreți s-mi-ncrunați cu altă?","- io him surat, io him surat! fud̦iți, țe vreți s-mi-ncrunați cu altă?","- io him surat, io him surat! fudzitsi, tse vretsi s-mi-ncrunatsi cu altã?","- i'm married, i'm married! leave me alone, what do you want to marry me off to another?","- ¡estoy casada, estoy casada! déjame en paz, ¿qué quieres, casarme con otro?","- je suis mariée, je suis mariée ! laisse-moi tranquille, qu'est-ce que tu veux me marier à un autre ?",train
1071,"după care, andrieș se duse la mireasa lui din munte, de și-o aduse acasă și și-o făcu nevastă.","apoia duse andrușlu la înveasta lui di la munte, ș-u aduse acasă și u lo-nveastă.","apoia duse andrușlu la înveasta lui di la munte, ș-u aduse acasă și u lo-nveastă.","apoia duse andrushlu la ãnveasta lui di la munte, sh-u aduse acasã shi u lo-nveastã.","then andres went to his bride in the mountains, and brought her home and made her his wife.","entonces andrés fue a buscar a su novia a las montañas, la trajo a casa y la hizo su esposa.","andrès se rendit auprès de sa fiancée dans les montagnes, la ramena à la maison et en fit sa femme.",train
1072,"și am fost și eu pe-acolo, și îmi deteră niște daruri, să vi le aduc domniilor voastre, dar trecând eu pe lângă un ghiol, niște broaște orăcăiră, cum fac ele bac-bac-bac (oac-oac-oac) și eu am crezut că dau năvală turcii și strigă brac! brac! brac! și mă speriai și scăpai darurile și-am luat-o la sănătoasa!...","eram ș-io aclo, ñi-deadiră nîscînte pișcheșe s-v-aduc, ma cum trițeam pri ningă nă baltă, broatițl'i feațiră bac-bac-bac!, și a ñia-ñi si păru că fac turțl'i brac! brac! brac! și me-aspăreai, le-alăsai și fudzii!...","eram ș-io aclo, ńi-deadiră nîscînte pișcheșe s-v-aduc, ma cum trițeam pri ningă nă baltă, broatițľi feațiră bac-bac-bac!, și a ńia-ńi si păru că fac turțľi brac! brac! brac! și me-aspăreai, le-alăsai și fud̦ii!...","eram sh-io aclo, nji-deadirã nãscãnte pishcheshe s-v-aduc, ma cum tritseam pri ningã nã baltã, broatitslji featsirã bac-bac-bac!, shi a njia-nji si pãru cã fac turtslji brac! brac! brac! shi me-aspãreai, le-alãsai shi fudzii!...","and i was there too, and i was taking some gifts, to bring them to you, but as i was passing by a canyon, some frogs were yelling, as they do bac-bac-bac (oac-oac-oac) and i thought the turks were going to burst in and shout brac! brac! brac! and i got scared and dropped the gifts and ran away!...","y yo también estaba allí, y llevaba algunos regalos, para traértelos, pero cuando pasaba por un cañón, unas ranas estaban gritando, como hacen bac-bac-bac (oac-oac-oac) y pensé que los turcos iban a irrumpir y gritar ¡brac! ¡brac! ¡brac! y me asusté y dejé caer los regalos y ¡salí corriendo!...","et j'étais là aussi, et je prenais des cadeaux pour vous les apporter, mais en passant près d'un canyon, des grenouilles criaient, comme elles le font bac-bac-bac (oac-oac-oac) et j'ai pensé que les turcs allaient faire irruption et crier brac ! brac ! brac ! et j'ai eu peur, j'ai laissé tomber les cadeaux et je me suis enfui !....",train
1073,luceferii,capra i luțeafirle?,capra i luțeafirle?,capra i lutseafirle?,luceferii,luceferii,luceferii,train
1074,a fost odată ce nu s-a mai văzut!,ș-era țe nu-și era.,ș-era țe nu-și era.,sh-era tse nu-shi era.,once upon a time never seen again!,érase una vez... ¡nunca más vista!,il était une fois on ne l'a jamais revu !,train
1075,"a fost odata un crai putred de bogat. averea lui cine-i mai știa seama? îl hărăzise dumnezeu cu de toate. un singur lucru îi lipsea: copiii. așa a vrut cel de sus, să nu fie om pe pământ fără cui în inimă, cum se vede.","era ună oară un vășil'e multu avut. averea lui loc iu si-u bagă nu-avea. tute bunile di la dumnidză le-avea. țe nu-avea, era fumeal'ie. acși vru dumnidză, s-nu-alasă om fără penură tu inimă.","era ună oară un vășiľe multu avut. averea lui loc iu si-u bagă nu-avea. tute bunile di la dumnid̦ă le-avea. țe nu-avea, era fumeaľie. acși vru dumnid̦ă, s-nu-alasă om fără penură tu inimă.","era unã oarã un vãshilje multu avut. averea lui loc iu si-u bagã nu-avea. tute bunile di la dumnidzã le-avea. tse nu-avea, era fumealjie. acshi vru dumnidzã, s-nu-alasã om fãrã penurã tu inimã.","he was once a filthy rich king. his wealth who else knew? god had left him with everything. only one thing he lacked: children. so willed the one above, that he should not be a man on earth without a nail in his heart.","una vez fue un rey asquerosamente rico. su riqueza ¿quién más lo sabía? dios se lo había dejado todo. sólo una cosa le faltaba: hijos. así lo quiso el de arriba, que no hubiera un hombre en la tierra sin un clavo en el corazón.","il était autrefois un roi richissime. sa richesse, qui d'autre la connaissait ? dieu l'avait comblé. une seule chose lui manquait: des enfants. le seigneur voulut qu'il n'y ait plus d'homme sur terre sans un clou dans le cœur.",train
1076,"nefericitul crai, când lua el seama la anii care trec și trec întruna, și când se gândea că funia tot se strânge la par și se scurtează, și că în curând vine și vremea să dea ortul popii îl treceau fiorii. nu de moarte se temea el că de asta nu scapă nimeni dar îi era că odată cu dânsul i se stinge neamul, că nu lasă urmaș, să-i poarte numele și că nimeni n-are să-i înalțe fum peste casă.","măratlu di vășil'e, cîndu videa cum añil'i trec și si arucutescu și cîndu minduia că cu añil'i cioara omlui se-adună ația de-ația ș-ca mîne va-l'i da dol'i a preftului, loclu nu lu-acăța. nu-l'i era a lui că vreai moară că vîr nu-ascapă di moarte -, ma l'i-era că-l'i se-astindze casa și că nu alasă hil'iu si-l'i poartă numa și s-l'i-afumă ugiaclu.","măratlu di vășiľe, cîndu videa cum ańiľi trec și si arucutescu și cîndu minduia că cu ańiľi cioara omlui se-adună ația de-ația ș-ca mîne va-ľi da doľi a preftului, loclu nu lu-acăța. nu-ľi era a lui că vreai moară că vîr nu-ascapă di moarte -, ma ľi-era că-ľi se-astind̦e casa și că nu alasă hiľiu si-ľi poartă numa și s-ľi-afumă ugiaclu.","mãratlu di vãshilje, cãndu videa cum anjilji trec shi si arucutescu shi cãndu minduia cã cu anjilji cioara omlui se-adunã atsia de-atsia sh-ca mãne va-lji da dolji a preftului, loclu nu lu-acãtsa. nu-lji era a lui cã vreai moarã cã vãr nu-ascapã di moarte -, ma lji-era cã-lji se-astindze casa shi cã nu alasã hiljiu si-lji poartã numa shi s-lji-afumã ugiaclu.","the unhappy king, when he was thinking of the years that go by and go by, and when he thought that the rope is getting tighter and shorter, and that soon it will be time to give the king his funeral he was shivering. it was not death he feared for no one escapes that but he was afraid that with him his lineage would die out, that he would leave no heir to bear his name, and that no one would raise smoke over his house.","el infeliz rey, cuando pensaba en los años que pasan y pasan, y cuando pensaba que la cuerda se va tensando y acortando, y que pronto llegará el momento de dar al rey su funeral temblaba. no era la muerte lo que temía -pues de eso nadie escapa-, sino que temía que con él se extinguiera su linaje, que no dejara heredero que llevara su nombre, y que nadie levantara humo sobre su casa.","le malheureux roi, en pensant aux années qui passent et qui s'écoulent, en pensant que la corde se resserre de plus en plus, et que bientôt il sera temps de donner au roi ses funérailles il tremblait. ce n'était pas la mort qu'il craignait car personne n'y échappe mais il avait peur qu'avec lui sa lignée s'éteigne, qu'il ne laisse pas d'héritier pour porter son nom, et que personne n'élève de fumée au-dessus de sa maison.",train
